route_no,passenger_count,population,traffic_volume,headway_minutes,vulnerability_index,traffic_volume_scaled,passenger_count_scaled,headway_minutes_scaled,vulnerability_index_scaled,population_scaled,priority_score,rank,bus_no
CWB379002500,626926.92,218891,626926.92,40.18881118881119,0.1479594866851538,0.3935082520277607,0.3935082520277607,0.5430920430920431,0.4163060808518075,0.6279834116593443,0.4491523090861802,67,250
CWB379000760,493587.0,197735,493587.0,51.05147058823529,0.1733835689179963,0.3088969170362455,0.3088969170362455,0.6898847376788553,0.5453523680863678,0.66520688799703,0.44437102336585815,68,76
CWB379000750,499755.0,197735,499755.0,49.823076923076925,0.1733835689179963,0.3128108440449588,0.3128108440449588,0.6732848232848233,0.5453523680863678,0.66520688799703,0.44339939669227973,69,75
CWB379000110,710357.4,396492,710357.4,48.34756097560975,0.0918732282114141,0.4464493689249577,0.4464493689249577,0.6533454185893209,0.13162625034196104,0.31549869710794914,0.4432511998178299,70,11
CWB379000140,711185.4,396492,711185.4,48.037267080745345,0.0918732282114141,0.44697477935997953,0.44697477935997953,0.6491522578479101,0.13162625034196104,0.31549869710794914,0.4427278139305608,71,14
CWB379000620,527872.0,183765,527872.0,44.72868217054263,0.16845427584142791,0.3306525894574086,0.3306525894574086,0.6044416509532788,0.5203325083959968,0.6897867690916353,0.44029181161386416,72,62
CWB379001560,583133.58,254867,583133.58,55.29523809523809,0.09248353062577737,0.3657190276069171,0.3657190276069171,0.7472329472329472,0.13472399286586348,0.5646844995434159,0.43881885525166764,73,156
CWB379002540,528318.44,205117,528318.44,46.666666666666664,0.15679831510796277,0.3309358795958278,0.3309358795958278,0.6306306306306306,0.46116976485898736,0.6522184354386638,0.436026473913388,74,254
CWB379000510,522959.98,200299,522959.98,44.23893805309734,0.16960643837462994,0.32753564916147154,0.32753564916147154,0.5978234872040181,0.5261805974573365,0.6606955912807403,0.4347737058114942,75,51
CWB379002570,528945.54,169445,528945.54,42.608333333333334,0.1569358788987577,0.33133380819945374,0.33133380819945374,0.5757882882882883,0.4618680042800771,0.7149824668206795,0.43164298968740555,76,257
CWB379000610,525234.02,189028,525234.02,42.60144927536232,0.16648327231944474,0.32897864957893175,0.32897864957893175,0.5756952604778692,0.5103281871265507,0.6805266463857722,0.4316117251941652,77,61
CWB379007200,814410.96,472512,814410.96,29.113207547169814,0.11949537789516457,0.512476936829751,0.512476936829751,0.3934217236104029,0.2718293785996513,0.18174332410781366,0.4315277770906777,78,720
CWB379000611,525144.02,189028,525144.02,42.27205882352941,0.16648327231944474,0.3289215397490381,0.3289215397490381,0.5712440381558028,0.5103281871265507,0.6805266463857722,0.43068721483181577,79,61-1
CWB379000100,712382.4,396492,712382.4,43.152,0.0918732282114141,0.4477343400975654,0.4477343400975654,0.5831351351351352,0.13162625034196104,0.31549869710794914,0.42998012583055734,80,10
CWB379003250,363708.78,147195,363708.78,67.64423076923077,0.13549373280342403,0.22648221646854083,0.22648221646854083,0.9141112266112267,0.35303302968384875,0.7541308100100114,0.4294279591727558,81,325
CWB379001060,822427.64,412849,822427.64,23.746268656716417,0.11720992420957783,0.5175639505087737,0.5175639505087737,0.3208955223880597,0.26022898688952206,0.28671894656647035,0.4294122681284754,82,106
CWB379002120,737043.22,350752,737043.22,35.168067226890756,0.09834013776115318,0.46338295382243827,0.46338295382243827,0.47524415171473994,0.16445066695738225,0.3959771338486252,0.4291213827170116,83,212
CWB379001160,660565.52,397086,660565.52,48.110344827586204,0.09809965599391568,0.41485374895955407,0.41485374895955407,0.6501397949673812,0.16323004160991086,0.31445356830550136,0.42670856936074986,84,116
CWB379000310,591083.58,329787,591083.58,52.96685082872928,0.09826645683425969,0.37076372924752515,0.37076372924752515,0.7157682544422875,0.16407668098736666,0.4328645502515171,0.425306011560861,85,31
CWB379030030,579453.22,182398,579453.22,31.84444444444444,0.16651498371692672,0.3633836416786117,0.3633836416786117,0.4303303303303303,0.5104891462546165,0.6921919729181439,0.4243643629905091,86,3003
CWB379003030,302770.25,97173,302770.25,66.325,0.1601267841890237,0.18781344888775559,0.18781344888775559,0.8962837837837838,0.4780642420382299,0.8421433234040232,0.42396558263363543,87,303
CWB379002530,558011.86,213956,558011.86,37.40659340659341,0.16295406532184187,0.349777948097622,0.349777948097622,0.5054945054945055,0.4924148144528831,0.6366664262049332,0.4238737940232559,88,253
CWB379003060,299059.49,97173,299059.49,66.5609756097561,0.1601267841890237,0.1854587725280194,0.1854587725280194,0.8994726433750824,0.4780642420382299,0.8421433234040232,0.42319054873605344,89,306
CWB379000720,492934.5,194192,492934.5,43.62162162162162,0.16916762791464118,0.30848287076951636,0.30848287076951636,0.589481373265157,0.5239533052332699,0.6714407118136504,0.4225253988194333,90,72
