위도,경도,정류장ID,정류장명,정류장번호
35.24872953,128.5200778,CWB379002860,한주아파트,421713
35.15477057,128.6648337,CWB379002861,여좌농협,511401
35.15516826,128.66473,CWB379002862,여좌농협,511402
35.36775567,128.69610906,CWB379002863,신성,103709
35.11860781,128.4971136,CWB379002866,교동마을입구,301602
35.11861242,128.4974822,CWB379002867,교동마을입구,301601
35.11765271,128.501035,CWB379002868,교동마을회관,301603
35.24635895,128.5860753,CWB379002869,금강테니스장,402505
35.24538013,128.5833259,CWB379002870,합성북18길,402503
35.24489316,128.58141274,CWB379002872,합성성진아파트,402501
35.24521943,128.5830461,CWB379002873,합성북18길,402502
35.24612714,128.585867,CWB379002874,금강테니스장,402504
35.11421248,128.445919,CWB379002877,근곡마을,302401
35.1413643,128.6711419,CWB379002879,진해수협웨딩홀,509601
35.13971743,128.67276492,CWB379002881,속천어촌계,509602
35.14143881,128.67129428,CWB379002882,진해수협웨딩홀,509604
35.25143982,128.6679481,CWB379002886,봉림동행정복지센터,103601
35.2525819,128.6692067,CWB379002887,휴먼시아1단지,109501
35.25096392,128.6668093,CWB379002888,휴먼시아2단지입구,103602
35.10617489,128.703768,CWB379002889,수치마을,522401
35.10059108,128.69670194,CWB379002891,합계종점,522403
35.10606257,128.7037421,CWB379002892,수치마을,522402
35.11094897,128.4340025,CWB379002898,임곡마을,315501
35.11087702,128.4338808,CWB379002900,임곡마을,315502
35.17993204,128.64268331,CWB379002909,목장입구,518103
35.23557924,128.5820776,CWB379002910,도원예식장,630241
35.15664596,128.6772557,CWB379002911,산상교회,518111
35.32359299,128.6026596,CWB379002912,행복한병원,119336
35.32327123,128.6026229,CWB379002913,행복한병원,119335
35.26127281,128.5089781,CWB379002981,새주막,412702
35.26467719,128.50531728,CWB379002982,용담,409805
35.26780744,128.5031832,CWB379002983,새터,409802
35.27043328,128.50064891,CWB379002985,수곡종점,409801
35.26753028,128.5033459,CWB379002986,새터,409803
35.26476838,128.50523106,CWB379002987,용담,409804
35.26131167,128.5087783,CWB379002988,새주막,412701
35.15376137,128.5490456,CWB379003010,현동입구,630244
35.2382155,128.5079469,CWB379003011,자동차부품혁신센터,630245
35.23846885,128.5084552,CWB379003012,자동차부품혁신센터,630246
35.30597605,128.6808398,CWB379003013,동월마을,630247
35.30589847,128.6809739,CWB379003014,동월마을,630248
35.30915734,128.691649,CWB379003015,판신마을,630249
35.30916925,128.6919762,CWB379003016,판신마을,630250
35.09833014,128.5794074,CWB379003018,내포마을회관,630251
35.11450082,128.728962,CWB379003019,어은동,630252
35.20076799,128.5206412,CWB379003022,쌀재터널입구,630255
35.19868156,128.52402919,CWB379003023,쌀재터널입구,630256
35.33254437,128.7088713,CWB379003024,제동마을,630257
35.10446315,128.4785482,CWB379003055,우산초등학교,630280
35.10456143,128.4786182,CWB379003056,우산초등학교,630281
35.34187517,128.6549127,CWB379003058,봉곡리회관,630282
35.3269533,128.7143079,CWB379003062,대산미곡처리장,630285
35.32649774,128.7151965,CWB379003063,대산미곡처리장,630286
35.32256514,128.7225059,CWB379003065,중포회관,630287
35.32604697,128.719311,CWB379003066,중포마을,630288
35.12171519,128.4880489,CWB379003068,진동유엔아이APT,317601
35.12167442,128.4878464,CWB379003069,진동유엔아이APT,317602
35.14875388,128.4456952,CWB379003070,금산1반,321405
35.14864435,128.4455914,CWB379003071,금산1반,321406
35.28342162,128.6128209,CWB379003072,달천산림욕장,119201
35.14809733,128.3843567,CWB379003073,백암,321201
35.14821861,128.3843215,CWB379003074,백암,321202
35.15045073,128.3905756,CWB379003075,진로마산공장,321203
35.15050391,128.3903112,CWB379003076,진로마산공장,321204
35.13178283,128.4469157,CWB379003077,현대사랑병원,315001
35.12900319,128.4483618,CWB379003078,숲안,315002
35.12192629,128.4520156,CWB379003079,동삼마을,315003
