statsYm,admmCd,ctpvNm,sggNm,dongNm,tong,ban,totNmprCnt,maleNmprCnt,femlNmprCnt,male0AgeNmprCnt,male10AgeNmprCnt,male20AgeNmprCnt,male30AgeNmprCnt,male40AgeNmprCnt,male50AgeNmprCnt,male60AgeNmprCnt,male70AgeNmprCnt,male80AgeNmprCnt,male90AgeNmprCnt,male100AgeNmprCnt,feml0AgeNmprCnt,feml10AgeNmprCnt,feml20AgeNmprCnt,feml30AgeNmprCnt,feml40AgeNmprCnt,feml50AgeNmprCnt,feml60AgeNmprCnt,feml70AgeNmprCnt,feml80AgeNmprCnt,feml90AgeNmprCnt,feml100AgeNmprCnt
202604,4812125000,경상남도,창원시 의창구,동읍,23,2,130,61,69,0,0,4,7,6,5,17,17,3,2,0,0,0,1,2,5,10,16,20,10,5,0
202604,4812125000,경상남도,창원시 의창구,동읍,24,1,148,69,79,1,3,1,5,11,12,18,12,6,0,0,4,3,1,4,4,11,20,16,15,1,0
202604,4812125000,경상남도,창원시 의창구,동읍,24,2,67,32,35,0,0,2,2,1,9,9,7,2,0,0,0,3,3,1,1,5,8,7,4,3,0
202604,4812131000,경상남도,창원시 의창구,북면,1,1,80,47,33,0,0,2,1,7,9,12,13,3,0,0,1,1,1,2,3,4,8,10,1,2,0
202604,4812131000,경상남도,창원시 의창구,북면,1,2,128,69,59,0,3,2,3,6,11,22,17,4,1,0,1,2,2,0,2,6,21,14,9,2,0
202604,4812131000,경상남도,창원시 의창구,북면,2,1,99,53,46,1,1,1,5,1,7,18,15,3,1,0,0,3,2,0,3,2,16,13,6,1,0
202604,4812131000,경상남도,창원시 의창구,북면,3,1,122,67,55,0,2,2,3,5,15,23,14,3,0,0,0,0,0,4,3,9,18,14,5,1,1
202604,4812131000,경상남도,창원시 의창구,북면,3,2,94,51,43,0,1,2,2,3,8,20,13,2,0,0,0,4,3,4,3,5,12,9,3,0,0
202604,4812131000,경상남도,창원시 의창구,북면,4,1,153,89,64,0,2,5,8,3,13,32,19,6,1,0,1,0,0,2,3,13,20,17,7,1,0
202604,4812131000,경상남도,창원시 의창구,북면,5,1,172,88,84,0,1,8,5,4,11,35,19,4,1,0,0,1,2,4,2,15,24,20,9,7,0
202604,4812131000,경상남도,창원시 의창구,북면,5,2,107,60,47,1,1,6,5,5,11,16,13,2,0,0,0,1,1,1,5,8,17,9,4,1,0
202604,4812131000,경상남도,창원시 의창구,북면,6,1,213,107,106,0,4,7,11,6,20,33,20,6,0,0,4,2,7,3,6,27,20,23,11,3,0
202604,4812131000,경상남도,창원시 의창구,북면,6,2,291,144,147,1,6,17,9,15,29,38,24,4,1,0,3,7,8,10,9,28,39,24,16,3,0
202604,4812131000,경상남도,창원시 의창구,북면,7,1,337,174,163,2,1,16,8,15,24,45,47,15,1,0,3,12,4,7,7,24,58,31,11,6,0
202604,4812131000,경상남도,창원시 의창구,북면,8,1,303,156,147,7,13,10,13,24,41,27,19,2,0,0,3,18,13,12,24,26,21,19,9,2,0
202604,4812131000,경상남도,창원시 의창구,북면,8,2,410,212,198,7,17,22,20,31,45,47,16,4,3,0,7,16,16,18,21,34,41,19,21,5,0
