정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명
NJB1733,대인시장(서),35.15263,126.9171,2025-10-31,2733,36040,전라남도 나주시,나주BIS
NJB1734,광주어망,35.03492,126.8369,2025-10-31,2734,36040,전라남도 나주시,나주BIS
NJB1735,장덕마을,35.19376,126.8152,2025-10-31,2735,36040,전라남도 나주시,나주BIS
NJB1736,호남대광산캠퍼스,35.14916,126.7682,2025-10-31,2736,36040,전라남도 나주시,나주BIS
NJB1737,나산리,35.29384,126.9349,2025-10-31,2737,36040,전라남도 나주시,나주BIS
NJB1738,남산마을입구,35.28428,126.9372,2025-10-31,2738,36040,전라남도 나주시,나주BIS
NJB1739,봉산,35.2765,126.9564,2025-10-31,2739,36040,전라남도 나주시,나주BIS
NJB1740,광주고,35.15734,126.9205,2025-10-31,2740,36040,전라남도 나주시,나주BIS
NJB1741,지산마을,35.2318,126.8966,2025-10-31,2741,36040,전라남도 나주시,나주BIS
NJB1742,고성리,35.29496,126.9237,2025-10-31,2742,36040,전라남도 나주시,나주BIS
NWB310004432,제천,35.371624,127.312162,2025-10-31,50981,35050,전라북도 남원시,남원BIS
NWB310004433,주생.대지,35.386215,127.333958,2025-10-31,50982,35050,전라북도 남원시,남원BIS
NWB310004434,주생.대지,35.386195,127.334067,2025-10-31,50983,35050,전라북도 남원시,남원BIS
NWB310004435,주생면행정복지센터,35.377813,127.321318,2025-10-31,50984,35050,전라북도 남원시,남원BIS
NWB310004436,주생면행정복지센터,35.377735,127.321384,2025-10-31,50985,35050,전라북도 남원시,남원BIS
NWB310004437,중동,35.391093,127.340059,2025-10-31,50986,35050,전라북도 남원시,남원BIS
NWB310004438,중동,35.391,127.340076,2025-10-31,50987,35050,전라북도 남원시,남원BIS
NWB310004439,화정동,35.404574,127.354098,2025-10-31,50988,35050,전라북도 남원시,남원BIS
NWB310004440,화정동,35.404656,127.354026,2025-10-31,50989,35050,전라북도 남원시,남원BIS
NWB310004441,효동마을,35.389611,127.335438,2025-10-31,50990,35050,전라북도 남원시,남원BIS
NWB310004442,효동마을,35.389528,127.335489,2025-10-31,50991,35050,전라북도 남원시,남원BIS
NWB310004443,도산,35.37487,127.288416,2025-10-31,50992,35050,전라북도 남원시,남원BIS
NWB310005660,초동,35.41515,127.426628,2025-10-31,50995,35050,전라북도 남원시,남원BIS
NWB315000001,봉서,35.558399,127.392064,2025-10-31,53001,35050,전라북도 남원시,남원BIS
NWB315000002,하월,35.563908,127.396119,2025-10-31,53002,35050,전라북도 남원시,남원BIS
NWB315000003,서원,35.565764,127.396837,2025-10-31,53003,35050,전라북도 남원시,남원BIS
NWB315000004,서원,35.568231,127.400503,2025-10-31,53004,35050,전라북도 남원시,남원BIS
NWB315000005,약촌,35.573607,127.402579,2025-10-31,53005,35050,전라북도 남원시,남원BIS
NWB315000006,이룡,35.578083,127.404174,2025-10-31,53006,35050,전라북도 남원시,남원BIS
NWB315000007,월호,35.580401,127.402318,2025-10-31,53007,35050,전라북도 남원시,남원BIS
NWB315000008,동화리,35.585481,127.394488,2025-10-31,53008,35050,전라북도 남원시,남원BIS
NWB315000009,동화리,35.585468,127.394363,2025-10-31,53009,35050,전라북도 남원시,남원BIS
NWB315000010,월호,35.580363,127.402241,2025-10-31,53010,35050,전라북도 남원시,남원BIS
NWB315000011,이룡,35.578223,127.404078,2025-10-31,53011,35050,전라북도 남원시,남원BIS
NWB315000012,약촌,35.573573,127.402427,2025-10-31,53012,35050,전라북도 남원시,남원BIS
NWB315000013,서원,35.568337,127.400454,2025-10-31,53013,35050,전라북도 남원시,남원BIS
NWB315000014,서원,35.565884,127.396832,2025-10-31,53014,35050,전라북도 남원시,남원BIS
NWB315000015,하월,35.563854,127.396017,2025-10-31,53015,35050,전라북도 남원시,남원BIS
NWB315000016,봉서,35.558352,127.391987,2025-10-31,53016,35050,전라북도 남원시,남원BIS
NWB315000017,대창,35.581438,127.387214,2025-10-31,53017,35050,전라북도 남원시,남원BIS
NWB315000018,대창,35.581413,127.387327,2025-10-31,53018,35050,전라북도 남원시,남원BIS
NWB315000101,수척,35.502502,127.520698,2025-10-31,53019,35050,전라북도 남원시,남원BIS
NWB315000102,수척,35.502452,127.520865,2025-10-31,53020,35050,전라북도 남원시,남원BIS
NWB315000103,원대론,35.504327,127.524197,2025-10-31,53021,35050,전라북도 남원시,남원BIS
NWB315000104,원대론,35.504247,127.524241,2025-10-31,53022,35050,전라북도 남원시,남원BIS
